HORIZONTE->NOMBRE(S)........# : a | ba | bt | bc | c
HORIZONTE->Profundidad# cm: 0 | 20 | 29 | 58 | 115
HORIZONTE->muestra# cm: 20 | 29 | 58 | 115 | 160
HORIZONTE->Mat. orgánica# %: 3.91 | 1.53 | 1.05 | 0.59 | 0.22
HORIZONTE->C orgánico# %: 2.27 | 0.89 | 0.61 | 0.34 | 0.13
HORIZONTE->N total# %: 0.198 | 0.095 | 0.077 | 0.060 | ---
HORIZONTE->Relación C/N# ---: 11 | 9 | 8 | 6 | ---
HORIZONTE->Arcilla < 2µ# %: 25.1 | 28.4 | 29.5 | 18.4 | 9.5
HORIZONTE->Limo 2-50µ# %: 60.0 | 52.5 | 50.6 | 56.3 | 56.7
HORIZONTE->TOTAL# %: 100.0 | 100.0 | 100.0 | 100.0 | 100.0
HORIZONTE->Limo 2-20µ# %: --- | --- | --- | --- | ---
HORIZONTE->Muy fina 50-100µ# %: 13.1 | 17.3 | 18.6 | 22.7 | 31.0
HORIZONTE->Fina 100-250µ# %: 1.8 | 1.8 | 1.3 | 2.6 | 2.8
HORIZONTE->Media 250-500µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Gruesa 500-1000µ# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Muy gruesa 1-2mm# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Calcáreo, CaCO3# %: 0.0 | 0.0 | 0.0 | 0.0 | 0.0
HORIZONTE->Equiv.humedad# %: 30.0 | 29.6 | 29.4 | 25.2 | 18.4
HORIZONTE->Resist.pasta# ohms: --- | --- | --- | --- | ---
HORIZONTE->pH pasta (1:1)# ---: 5.9 | 5.0 | 6.0 | 6.1 | 6.7
HORIZONTE->pH agua (1:2,5)# ---: 6.0 | 6.1 | 6.3 | 6.4 | 6.7
HORIZONTE->pH 1N ClK (1:2,5)# ---: --- | --- | --- | --- | ---
HORIZONTE->Ca++ intercambio# me/100g: 13.5 | 11.5 | 12.2 | 10.9 | 7.6
HORIZONTE->Mg++ intercambio# me/100g: 1.7 | 2.9 | 3.6 | 3.1 | 2.9
HORIZONTE->Na+ intercambio# me/100g: 0.2 | 0.2 | 0.1 | 0.2 | 0.1
HORIZONTE->K+ intercambio# me/100g: 2.2 | 1.5 | 1.5 | 1.3 | 1.4
HORIZONTE->H+ intercambio# me/100g: 7.1 | 5.4 | 6.0 | 4.0 | 2.0
HORIZONTE->(Na+/T)# %: 0.9 | 1.0 | 0.5 | 1.1 | 0.7
HORIZONTE->C.I.C., (T)# me/100g: 22.3 | 19.7 | 21.1 | 18.4 | 13.6
HORIZONTE->Suma bases (S)# me/100g: 17.6 | 16.1 | 17.4 | 15.5 | 12.0
HORIZONTE->Sat.bases, (S/T)# %: 79 | 82 | 82 | 84 | 88
